"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1653","Login successfully with valid credentials","chromium","Thu Nov 06 19:12:56 PKT 2025","passed","Thu Nov 06 19:12:57 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1760","Verify Add to Cart updates cart badge","chromium","Thu Nov 06 19:13:09 PKT 2025","passed","Thu Nov 06 19:13:11 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1730","Clicking product name or image opens correct detail page","chromium","Thu Nov 06 19:13:16 PKT 2025","passed","Thu Nov 06 19:13:18 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","3735","has title","chromium","Thu Nov 06 19:12:50 PKT 2025","passed","Thu Nov 06 19:12:54 PKT 2025","","example.spec.ts","",""
"","1334","Show error for too short password","chromium","Thu Nov 06 19:13:00 PKT 2025","passed","Thu Nov 06 19:13:02 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1304","Error message disappears after clicking close icon","chromium","Thu Nov 06 19:13:06 PKT 2025","passed","Thu Nov 06 19:13:07 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1785","get started link","chromium","Thu Nov 06 19:12:54 PKT 2025","passed","Thu Nov 06 19:12:56 PKT 2025","","example.spec.ts","",""
"","1932","Verify product can be removed from cart","chromium","Thu Nov 06 19:13:14 PKT 2025","passed","Thu Nov 06 19:13:16 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1224","Show error for whitespace-only credentials","chromium","Thu Nov 06 19:13:03 PKT 2025","passed","Thu Nov 06 19:13:04 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1405","Show error for invalid credentials","chromium","Thu Nov 06 19:12:59 PKT 2025","passed","Thu Nov 06 19:13:00 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1375","Show error for empty username","chromium","Thu Nov 06 19:12:57 PKT 2025","passed","Thu Nov 06 19:12:59 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1710","Verify cart contains the added product","chromium","Thu Nov 06 19:13:11 PKT 2025","passed","Thu Nov 06 19:13:12 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1353","Show error for locked out user","chromium","Thu Nov 06 19:13:02 PKT 2025","passed","Thu Nov 06 19:13:03 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1673","Verify checkout page opens correctly","chromium","Thu Nov 06 19:13:12 PKT 2025","passed","Thu Nov 06 19:13:14 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1866","Verify all products have complete data","chromium","Thu Nov 06 19:13:07 PKT 2025","passed","Thu Nov 06 19:13:09 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1378","Username is case-sensitive error","chromium","Thu Nov 06 19:13:04 PKT 2025","passed","Thu Nov 06 19:13:06 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
